day,emissions
2019-10-11 00:00:00,8561.107129442
2019-10-12 00:00:00,8559.055889099
2019-10-13 00:00:00,8557.005140233
2019-10-14 00:00:00,8554.954882727
2019-10-15 00:00:00,8552.905116462
2019-10-16 00:00:00,8550.855841320
2019-10-17 00:00:00,8548.807057185
2019-10-18 00:00:00,8546.758763939
2019-10-19 00:00:00,8544.710961462
2019-10-20 00:00:00,8542.663649640
2019-10-21 00:00:00,8540.616828353
2019-10-22 00:00:00,8538.570497484
2019-10-23 00:00:00,8536.524656916
2019-10-24 00:00:00,8534.479306531
2019-10-25 00:00:00,8532.434446212
2019-10-26 00:00:00,8530.390075840
2019-10-27 00:00:00,8528.346195301
2019-10-28 00:00:00,8526.302804474
2019-10-29 00:00:00,8524.259903244
2019-10-30 00:00:00,8522.217491493
2019-10-31 00:00:00,8520.175569103
2019-11-01 00:00:00,8518.134135958
2019-11-02 00:00:00,8516.093191939
2019-11-03 00:00:00,8514.052736931
2019-11-04 00:00:00,8512.012770816
2019-11-05 00:00:00,8509.973293477
2019-11-06 00:00:00,8507.934304795
2019-11-07 00:00:00,8505.895804655
2019-11-08 00:00:00,8503.857792940
2019-11-09 00:00:00,8501.820269532
2019-11-10 00:00:00,8499.783234315
2019-11-11 00:00:00,8497.746687171
2019-11-12 00:00:00,8495.710627983
2019-11-13 00:00:00,8493.675056634
2019-11-14 00:00:00,8491.639973010
2019-11-15 00:00:00,8489.605376990
2019-11-16 00:00:00,8487.571268459
2019-11-17 00:00:00,8485.537647301
2019-11-18 00:00:00,8483.504513398
2019-11-19 00:00:00,8481.471866634
2019-11-20 00:00:00,8479.439706891
2019-11-21 00:00:00,8477.408034054
2019-11-22 00:00:00,8475.376848006
2019-11-23 00:00:00,8473.346148629
2019-11-24 00:00:00,8471.315935808
2019-11-25 00:00:00,8469.286209425
2019-11-26 00:00:00,8467.256969365
2019-11-27 00:00:00,8465.228215511
2019-11-28 00:00:00,8463.199947745
2019-11-29 00:00:00,8461.172165953
2019-11-30 00:00:00,8459.144870016
2019-12-01 00:00:00,8457.118059820
2019-12-02 00:00:00,8455.091735247
2019-12-03 00:00:00,8453.065896182
2019-12-04 00:00:00,8451.040542506
2019-12-05 00:00:00,8449.015674106
2019-12-06 00:00:00,8446.991290864
2019-12-07 00:00:00,8444.967392664
2019-12-08 00:00:00,8442.943979389
2019-12-09 00:00:00,8440.921050924
2019-12-10 00:00:00,8438.898607154
2019-12-11 00:00:00,8436.876647959
2019-12-12 00:00:00,8434.855173226
2019-12-13 00:00:00,8432.834182839
2019-12-14 00:00:00,8430.813676680
2019-12-15 00:00:00,8428.793654635
2019-12-16 00:00:00,8426.774116586
2019-12-17 00:00:00,8424.755062419
2019-12-18 00:00:00,8422.736492016
2019-12-19 00:00:00,8420.718405264
2019-12-20 00:00:00,8418.700802044
2019-12-21 00:00:00,8416.683682242
2019-12-22 00:00:00,8414.667045741
2019-12-23 00:00:00,8412.650892427
2019-12-24 00:00:00,8410.635222183
2019-12-25 00:00:00,8408.620034892
2019-12-26 00:00:00,8406.605330441
2019-12-27 00:00:00,8404.591108713
2019-12-28 00:00:00,8402.577369592
2019-12-29 00:00:00,8400.564112962
